domain,s,ip_address
google.com.,,
contile.services.mozilla.com.,,
content-signature-2.cdn.mozilla.net.,,
r3.o.lencr.org.,,
ocsp.pki.goog.,,
www.gstatic.com.,,
googleads.g.doubleclick.net.,,
adservice.google.co.in.,,
ocsp.digicert.com.,,
abs.twimg.com.,,
www.google-analytics.com.,,
fb.com.,,
instagram.com.,,
isro.gov.in.,,
vedas.sac.gov.in.,,
iiitkottayam.ac.in.,,
github.com.,,
github.io.,,
abc.com.,,
services.addons.mozilla.org.,,
ciscobinary.openh264.org.,,
safebrowsing.googleapis.com.,,
facebook.com.,,
googlr.com.,,
www.kali.org.,,
static.xx.fbcdn.net.,,
www.exploit-db.com.,,
ocsp.starfieldtech.com.,,
consent.cookiebot.com.,,
www.googletagmanager.com.,0.0,142.250.182.232
